Polytopes,Vertices,GPU_ms,CPU_ms
1000,50,0.6196,0.7372,0.9604
1000,100,0.9577,0.4720,1.5835
1000,500,4.2110,1.3527,6.5109
1000,1000,9.4876,1.6492,12.8552
1000,5000,33.7863,8.2576,69.3018
1000,10000,73.8558,18.7817,139.0026
50,1000,4.5660,0.7004,0.7175
100,1000,4.9080,1.1305,1.2696
500,1000,9.8812,0.8746,6.5996
1000,1000,9.4736,1.5964,13.1464
5000,1000,9.1098,4.9365,64.7254
10000,1000,19.4111,8.9674,130.5284
50000,1000,79.5677,41.3683,658.3971
